wavelength,Vlambda
552.7659574468084,563.0
553.6170212765958,564.0
554.468085106383,565.0
555.3191489361702,566.0
556.1702127659574,567.0
557.0212765957447,568.0
557.8723404255319,569.0
558.7234042553191,570.0
559.5744680851064,571.0
560.4255319148936,572.0
561.2765957446809,573.0
562.1276595744681,574.0
562.9787234042553,575.0
563.8297872340426,576.0
564.6808510638298,577.0
565.531914893617,578.0
566.3829787234042,579.0
567.2340425531916,580.0
568.0851063829787,581.0
568.936170212766,582.0
569.7872340425532,583.0
570.6382978723404,584.0
571.4893617021277,585.0
572.3404255319149,586.0
573.1914893617021,587.0
574.0425531914893,588.0
574.8936170212767,589.0
575.7446808510638,590.0
576.5957446808511,591.0
577.4468085106383,592.0
578.2978723404256,593.0
579.1489361702128,594.0
580.0,595.0
580.8510638297872,596.0
581.7021276595744,597.0
582.5531914893617,598.0
583.4042553191489,599.0
584.2553191489362,600.0
585.1063829787234,601.0
585.9574468085107,602.0
586.8085106382979,603.0
587.6595744680851,604.0
588.5106382978723,605.0
589.3617021276596,606.0
590.2127659574468,607.0
591.063829787234,608.0
591.9148936170213,609.0
592.7659574468084,610.0
593.6170212765958,611.0
594.468085106383,612.0
595.3191489361702,613.0
596.1702127659574,614.0
597.0212765957447,615.0
597.8723404255319,616.0
598.7234042553191,617.0
599.5744680851064,618.0
600.4255319148936,619.0
601.2765957446809,620.0
602.1276595744681,621.0
602.9787234042553,622.0
603.8297872340426,623.0
604.6808510638298,624.0
605.531914893617,625.0
606.3829787234042,626.0
607.2340425531916,627.0
608.0851063829787,628.0
608.936170212766,629.0
609.7872340425532,630.0
610.6382978723404,631.0
611.4893617021277,632.0
612.3404255319149,633.0
613.1914893617021,634.0
614.0425531914893,635.0
614.8936170212767,636.0
615.7446808510638,637.0
616.5957446808511,638.0
617.4468085106383,639.0
618.2978723404256,640.0
619.1489361702128,641.0
620.0,642.0
620.8510638297872,643.0
621.7021276595744,644.0
622.5531914893617,645.0
623.4042553191489,646.0
624.2553191489362,647.0
625.1063829787234,648.0
625.9574468085107,649.0
626.8085106382979,650.0
627.6595744680851,651.0
628.5106382978723,652.0
629.3617021276596,653.0
630.2127659574468,654.0
631.063829787234,655.0
631.9148936170213,656.0
632.7659574468084,657.0
633.6170212765958,658.0
634.468085106383,659.0
635.3191489361702,660.0
636.1702127659574,661.0
637.0212765957447,662.0
637.872340425532,663.0
638.7234042553191,664.0
639.5744680851064,665.0
640.4255319148936,666.0
641.2765957446809,667.0
642.1276595744681,668.0
642.9787234042553,669.0
643.8297872340426,670.0
644.6808510638298,671.0
645.531914893617,672.0
646.3829787234042,673.0
647.2340425531916,674.0
648.0851063829787,675.0
648.936170212766,676.0
649.7872340425531,677.0
650.6382978723404,678.0
651.4893617021277,679.0
652.3404255319149,680.0
653.1914893617021,681.0
654.0425531914893,682.0
654.8936170212767,683.0
655.7446808510638,684.0
656.5957446808511,685.0
657.4468085106382,686.0
658.2978723404256,687.0
659.1489361702128,688.0
660.0,689.0
660.8510638297872,690.0
661.7021276595744,691.0
662.5531914893618,692.0
663.4042553191489,693.0
664.2553191489362,694.0
665.1063829787233,695.0
665.9574468085107,696.0
666.8085106382979,697.0
667.6595744680851,698.0
668.5106382978723,699.0
669.3617021276596,700.0
670.2127659574469,701.0
671.063829787234,702.0
671.9148936170213,703.0
672.7659574468084,704.0
673.6170212765958,705.0
674.468085106383,706.0
675.3191489361702,707.0
676.1702127659574,708.0
