wavelength,power
625nm(mW/m^2);119,44973
626nm(mW/m^2);120,166374
627nm(mW/m^2);121,27138
628nm(mW/m^2);122,26133
629nm(mW/m^2);123,820633
630nm(mW/m^2);125,460159
631nm(mW/m^2);127,6767
632nm(mW/m^2);128,775345
633nm(mW/m^2);130,941849
634nm(mW/m^2);133,949188
635nm(mW/m^2);137,524017
636nm(mW/m^2);141,601608
637nm(mW/m^2);145,677231
638nm(mW/m^2);149,703903
639nm(mW/m^2);153,682907
640nm(mW/m^2);158,121353
641nm(mW/m^2);163,1008
642nm(mW/m^2);168,180893
643nm(mW/m^2);172,800262
644nm(mW/m^2);176,430374
645nm(mW/m^2);179,425797
646nm(mW/m^2);181,324295
647nm(mW/m^2);182,505112
648nm(mW/m^2);181,964279
649nm(mW/m^2);179,930191
650nm(mW/m^2);175,519547
651nm(mW/m^2);169,525421
652nm(mW/m^2);161,950607
653nm(mW/m^2);153,701416
654nm(mW/m^2);144,760025
655nm(mW/m^2);135,305511
656nm(mW/m^2);125,320351
657nm(mW/m^2);115,82565
658nm(mW/m^2);105,156799
659nm(mW/m^2);95,80439
660nm(mW/m^2);87,514748
661nm(mW/m^2);79,970528
662nm(mW/m^2);73,356239
663nm(mW/m^2);67,314896
664nm(mW/m^2);62,152985
665nm(mW/m^2);57,644035
666nm(mW/m^2);53,651348
667nm(mW/m^2);49,718895
668nm(mW/m^2);46,319351
669nm(mW/m^2);43,581909
670nm(mW/m^2);41,454903
671nm(mW/m^2);39,349888
672nm(mW/m^2);37,263161
673nm(mW/m^2);35,262005
674nm(mW/m^2);33,591507
675nm(mW/m^2);32,167652
676nm(mW/m^2);30,984015
677nm(mW/m^2);29,801434
678nm(mW/m^2);28,620358
679nm(mW/m^2);27,408117
680nm(mW/m^2);26,52027
681nm(mW/m^2);24,584497
682nm(mW/m^2);23,113857
683nm(mW/m^2);21,98357
684nm(mW/m^2);21,524956
685nm(mW/m^2);21,401501
686nm(mW/m^2);21,102415
687nm(mW/m^2);20,336817
688nm(mW/m^2);19,417507
689nm(mW/m^2);18,793488
690nm(mW/m^2);18,46818
691nm(mW/m^2);18,182947
692nm(mW/m^2);17,717379
693nm(mW/m^2);16,872515
694nm(mW/m^2);15,856989
695nm(mW/m^2);15,11533
696nm(mW/m^2);14,440574
697nm(mW/m^2);14,58556
698nm(mW/m^2);13,617354
699nm(mW/m^2);13,224529
700nm(mW/m^2);12,853372
701nm(mW/m^2);12,33387
702nm(mW/m^2);11,81344
703nm(mW/m^2);11,552911
704nm(mW/m^2);11,422051
705nm(mW/m^2);11,105254
706nm(mW/m^2);10,682812
707nm(mW/m^2);10,417108
708nm(mW/m^2);10,265785
709nm(mW/m^2);9,990366
710nm(mW/m^2);9,569888
711nm(mW/m^2);9,100887
712nm(mW/m^2);8,56185
713nm(mW/m^2);8,106609
714nm(mW/m^2);7,832638
715nm(mW/m^2);7,630241
716nm(mW/m^2);7,344992
717nm(mW/m^2);7,41745
718nm(mW/m^2);6,831986
719nm(mW/m^2);6,65702
720nm(mW/m^2);6,414185
721nm(mW/m^2);6,169822
722nm(mW/m^2);6,14873
723nm(mW/m^2);5,920115
724nm(mW/m^2);5,998047
725nm(mW/m^2);6,17359
726nm(mW/m^2);6,30685
727nm(mW/m^2);5,466094
728nm(mW/m^2);4,616449
729nm(mW/m^2);3,961876
730nm(mW/m^2);3,492811
731nm(mW/m^2);3,399389
732nm(mW/m^2);3,61872
733nm(mW/m^2);3,975317
734nm(mW/m^2);4,94282
735nm(mW/m^2);3,816089
736nm(mW/m^2);3,490176
737nm(mW/m^2);3,321776
738nm(mW/m^2);3,29059
739nm(mW/m^2);3,193204
740nm(mW/m^2);2,980443
741nm(mW/m^2);2,782252
742nm(mW/m^2);2,552841
743nm(mW/m^2);2,510423
744nm(mW/m^2);2,710272
745nm(mW/m^2);2,9629
746nm(mW/m^2);2,995013
747nm(mW/m^2);2,783927
748nm(mW/m^2);2,572359
749nm(mW/m^2);2,364028
750nm(mW/m^2);2,71784
751nm(mW/m^2);1,705545
752nm(mW/m^2);1,307745
753nm(mW/m^2);1,210402
754nm(mW/m^2);1,416628
755nm(mW/m^2);1,447047
756nm(mW/m^2);1,285702
757nm(mW/m^2);1,178936
758nm(mW/m^2);1,285551
759nm(mW/m^2);1,320594
760nm(mW/m^2);1,45299
761nm(mW/m^2);0,87441
762nm(mW/m^2);0,995747
763nm(mW/m^2);0,979161
764nm(mW/m^2);0,746981
765nm(mW/m^2);0,453222
766nm(mW/m^2);0,383562
767nm(mW/m^2);0,428709
768nm(mW/m^2);0,343856
769nm(mW/m^2);0,270707
770nm(mW/m^2);0,308949
771nm(mW/m^2);0,723291
772nm(mW/m^2);1,399787
773nm(mW/m^2);1,896145
774nm(mW/m^2);1,748422
775nm(mW/m^2);0,983908
776nm(mW/m^2);0,34507
777nm(mW/m^2);0,
778nm(mW/m^2);0,
779nm(mW/m^2);0,
780nm(mW/m^2);0,
