wavelength,x,y,z
515.3191489361702,519.0,0.05537861,0.6908424
516.1702127659574,520.0,0.06327,0.71
517.0212765957447,521.0,0.07163501,0.7281852
517.8723404255319,522.0,0.08046224,0.7454636
518.7234042553191,523.0,0.08973996,0.7619694
519.5744680851064,524.0,0.09945645,0.7778368
520.4255319148936,525.0,0.1096,0.7932
521.2765957446809,526.0,0.1201674,0.8081104
522.1276595744681,527.0,0.1311145,0.8224962
522.9787234042553,528.0,0.1423679,0.8363068
523.8297872340426,529.0,0.1538542,0.8494916
524.6808510638298,530.0,0.1655,0.862
525.531914893617,531.0,0.1772571,0.8738108
526.3829787234042,532.0,0.18914,0.8849624
527.2340425531916,533.0,0.2011694,0.8954936
528.0851063829787,534.0,0.2133658,0.9054432
528.936170212766,535.0,0.2257499,0.9148501
529.7872340425532,536.0,0.2383209,0.9237348
530.6382978723404,537.0,0.2510668,0.9320924
531.4893617021277,538.0,0.2639922,0.9399226
532.3404255319149,539.0,0.2771017,0.9472252
533.1914893617021,540.0,0.2904,0.954
534.0425531914893,541.0,0.3038912,0.9602561
534.8936170212766,542.0,0.3175726,0.9660074
535.7446808510638,543.0,0.3314384,0.9712606
536.5957446808511,544.0,0.3454828,0.9760225
537.4468085106383,545.0,0.3597,0.9803
538.2978723404256,546.0,0.3740839,0.9840924
539.1489361702128,547.0,0.3886396,0.9874182
540.0,548.0,0.4033784,0.9903128
540.8510638297872,549.0,0.4183115,0.9928116
541.7021276595744,550.0,0.4334499,0.9949501
542.5531914893617,551.0,0.4487953,0.9967108
543.4042553191489,552.0,0.464336,0.9980983
544.2553191489362,553.0,0.480064,0.999112
545.1063829787234,554.0,0.4959713,0.9997482
545.9574468085107,555.0,0.5120501,1.0
546.8085106382979,556.0,0.5282959,0.9998567
547.6595744680851,557.0,0.5446916,0.9993046
548.5106382978723,558.0,0.5612094,0.9983255
549.3617021276596,559.0,0.5778215,0.9968987
550.2127659574468,560.0,0.5945,0.995
551.063829787234,561.0,0.6112209,0.9926005
551.9148936170213,562.0,0.6279758,0.9897426
552.7659574468084,563.0,0.6447602,0.9864444
553.6170212765958,564.0,0.6615697,0.9827241
554.468085106383,565.0,0.6784,0.9786
555.3191489361702,566.0,0.6952392,0.9740837
556.1702127659574,567.0,0.7120586,0.9691712
557.0212765957447,568.0,0.7288284,0.9638568
557.8723404255319,569.0,0.7455188,0.9581349
558.7234042553191,570.0,0.7621,0.952
559.5744680851064,571.0,0.7785432,0.9454504
560.4255319148936,572.0,0.7948256,0.9384992
561.2765957446809,573.0,0.8109264,0.9311628
562.1276595744681,574.0,0.8268248,0.9234576
562.9787234042553,575.0,0.8425,0.9154
563.8297872340426,576.0,0.8579325,0.9070064
564.6808510638298,577.0,0.8730816,0.8982772
565.531914893617,578.0,0.8878944,0.8892048
566.3829787234042,579.0,0.9023181,0.8797816
567.2340425531916,580.0,0.9163,0.87
568.0851063829787,581.0,0.9297995,0.8598613
568.936170212766,582.0,0.9427984,0.849392
569.7872340425532,583.0,0.9552776,0.838622
570.6382978723404,584.0,0.9672179,0.8275813
571.4893617021277,585.0,0.9786,0.8163
572.3404255319149,586.0,0.9893856,0.8047947
573.1914893617021,587.0,0.9995488,0.793082
574.0425531914893,588.0,1.0090892,0.781192
574.8936170212767,589.0,1.0180064,0.7691547
575.7446808510638,590.0,1.0263,0.757
576.5957446808511,591.0,1.0339827,0.7447541
577.4468085106383,592.0,1.040986,0.7324224
578.2978723404256,593.0,1.047188,0.7200036
579.1489361702128,594.0,1.0524667,0.7074965
580.0,595.0,1.0567,0.6949
580.8510638297872,596.0,1.0597944,0.6822192
581.7021276595744,597.0,1.0617992,0.6694716
582.5531914893617,598.0,1.0628068,0.6566744
583.4042553191489,599.0,1.0629096,0.6438448
584.2553191489362,600.0,1.0622,0.631
585.1063829787234,601.0,1.0607352,0.6181555
585.9574468085107,602.0,1.0584436,0.6053144
586.8085106382979,603.0,1.0552244,0.5924756
587.6595744680851,604.0,1.0509768,0.5796379
588.5106382978723,605.0,1.0456,0.5668
589.3617021276596,606.0,1.0390369,0.5539611
590.2127659574468,607.0,1.0313608,0.5411372
591.063829787234,608.0,1.0226662,0.5283528
591.9148936170213,609.0,1.0130477,0.5156323
592.7659574468084,610.0,1.0026,0.503
593.6170212765958,611.0,0.9913675,0.4904688
594.468085106383,612.0,0.9793314,0.4780304
595.3191489361702,613.0,0.9664916,0.4656776
596.1702127659574,614.0,0.9528479,0.4534032
597.0212765957447,615.0,0.9384,0.4412
597.8723404255319,616.0,0.923194,0.42908
598.7234042553191,617.0,0.907244,0.417036
599.5744680851064,618.0,0.890502,0.405032
600.4255319148936,619.0,0.87292,0.393032
601.2765957446809,620.0,0.8544499,0.381
602.1276595744681,621.0,0.835084,0.3689184
602.9787234042553,622.0,0.814946,0.3568272
603.8297872340426,623.0,0.794186,0.3447768
604.6808510638298,624.0,0.772954,0.3328176
605.531914893617,625.0,0.7514,0.321
606.3829787234042,626.0,0.7295836,0.3093381
607.2340425531916,627.0,0.7075888,0.2978504
608.0851063829787,628.0,0.6856022,0.2865936
608.936170212766,629.0,0.6638104,0.2756245
609.7872340425532,630.0,0.6424,0.265
610.6382978723404,631.0,0.6215149,0.2547632
611.4893617021277,632.0,0.6011138,0.2448896
612.3404255319149,633.0,0.5811052,0.2353344
613.1914893617021,634.0,0.5613977,0.2260528
614.0425531914893,635.0,0.5419,0.217
614.8936170212767,636.0,0.5225995,0.2081616
615.7446808510638,637.0,0.5035464,0.1995488
616.5957446808511,638.0,0.4847436,0.1911552
617.4468085106383,639.0,0.4661939,0.1829744
618.2978723404256,640.0,0.4479,0.175
619.1489361702128,641.0,0.4298613,0.1672235
620.0,642.0,0.412098,0.1596464
620.8510638297872,643.0,0.394644,0.1522776
621.7021276595744,644.0,0.3775333,0.1451259
622.5531914893617,645.0,0.3608,0.1382
623.4042553191489,646.0,0.3444563,0.1315003
624.2553191489362,647.0,0.3285168,0.1250248
625.1063829787234,648.0,0.3130192,0.1187792
625.9574468085107,649.0,0.2980011,0.1127691
626.8085106382979,650.0,0.2835,0.107
627.6595744680851,651.0,0.2695448,0.1014762
628.5106382978723,652.0,0.2561184,0.09618864
629.3617021276596,653.0,0.2431896,0.09112296
630.2127659574468,654.0,0.2307272,0.08626485
631.063829787234,655.0,0.2187,0.0816
631.9148936170213,656.0,0.2070971,0.07712064
632.7659574468084,657.0,0.1959232,0.07282552
633.6170212765958,658.0,0.1851708,0.06871008
634.468085106383,659.0,0.1748323,0.06476976
635.3191489361702,660.0,0.1649,0.061
636.1702127659574,661.0,0.1553667,0.05739621
637.0212765957447,662.0,0.14623,0.05395504
637.872340425532,663.0,0.13749,0.05067376
638.7234042553191,664.0,0.1291467,0.04754965
639.5744680851064,665.0,0.1212,0.04458
640.4255319148936,666.0,0.1136397,0.04175872
641.2765957446809,667.0,0.106465,0.03908496
642.1276595744681,668.0,0.09969044,0.03656384
642.9787234042553,669.0,0.09333061,0.03420048
643.8297872340426,670.0,0.0874,0.032
644.6808510638298,671.0,0.08190096,0.02996261
645.531914893617,672.0,0.07680428,0.02807664
646.3829787234042,673.0,0.07207712,0.02632936
647.2340425531916,674.0,0.06768664,0.02470805
648.0851063829787,675.0,0.0636,0.0232
648.936170212766,676.0,0.05980685,0.02180077
649.7872340425531,677.0,0.05628216,0.02050112
650.6382978723404,678.0,0.05297104,0.01928108
651.4893617021277,679.0,0.04981861,0.01812069
652.3404255319149,680.0,0.04677,0.017
653.1914893617021,681.0,0.04378405,0.01590379
654.0425531914893,682.0,0.04087536,0.01483718
654.8936170212767,683.0,0.03807264,0.01381068
655.7446808510638,684.0,0.03540461,0.01283478
656.5957446808511,685.0,0.0329,0.01192
657.4468085106382,686.0,0.03056419,0.01106831
658.2978723404256,687.0,0.02838056,0.01027339
659.1489361702128,688.0,0.02634484,0.009533311
660.0,689.0,0.02445275,0.008846157
660.8510638297872,690.0,0.0227,0.00821
661.7021276595744,691.0,0.02108429,0.007623781
662.5531914893618,692.0,0.01959988,0.007085424
663.4042553191489,693.0,0.01823732,0.006591476
664.2553191489362,694.0,0.01698717,0.006138485
665.1063829787233,695.0,0.01584,0.005723
665.9574468085107,696.0,0.01479064,0.005343059
666.8085106382979,697.0,0.01383132,0.004995796
667.6595744680851,698.0,0.01294868,0.004676404
668.5106382978723,699.0,0.0121292,0.004380075
669.3617021276596,700.0,0.01135916,0.004102
670.2127659574469,701.0,0.01062935,0.003838453
671.063829787234,702.0,0.009938846,0.003589099
671.9148936170213,703.0,0.009288422,0.003354219
672.7659574468084,704.0,0.008678854,0.003134093
673.6170212765958,705.0,0.008110916,0.002929
674.468085106383,706.0,0.007582388,0.002738139
675.3191489361702,707.0,0.007088746,0.002559876
676.1702127659574,708.0,0.006627313,0.002393244
677.0212765957447,709.0,0.006195408,0.002237275
677.872340425532,710.0,0.005790346,0.002091
678.7234042553191,711.0,0.005409826,0.001953587
679.5744680851064,712.0,0.005052583,0.00182458
680.4255319148936,713.0,0.004717512,0.00170358
681.2765957446809,714.0,0.004403507,0.001590187
682.1276595744681,715.0,0.004109457,0.001484
682.9787234042553,716.0,0.003833913,0.001384496
683.8297872340426,717.0,0.003575748,0.001291268
684.6808510638298,718.0,0.003334342,0.001204092
685.531914893617,719.0,0.003109075,0.001122744
686.3829787234042,720.0,0.002899327,0.001047
687.2340425531916,721.0,0.002704348,0.0009765896
688.0851063829787,722.0,0.00252302,0.0009111088
688.936170212766,723.0,0.002354168,0.0008501332
689.7872340425531,724.0,0.002196616,0.0007932384
690.6382978723404,725.0,0.00204919,0.00074
691.4893617021277,726.0,0.00191096,0.0006900827
692.3404255319149,727.0,0.001781438,0.00064331
693.1914893617021,728.0,0.00166011,0.000599496
694.0425531914893,729.0,0.001546459,0.0005584547
694.8936170212767,730.0,0.001439971,0.00052
695.7446808510638,731.0,0.001340042,0.0004839136
696.5957446808511,732.0,0.001246275,0.0004500528
697.4468085106382,733.0,0.001158471,0.0004183452
698.2978723404256,734.0,0.00107643,0.0003887184
699.1489361702128,735.0,0.0009999493,0.0003611
700.0,736.0,0.0009287358,0.0003353835
700.8510638297872,737.0,0.0008624332,0.0003114404
701.7021276595744,738.0,0.0008007503,0.0002891656
702.5531914893618,739.0,0.000743396,0.0002684539
